JAKARTA;1.3 engkel
BANTEN;0.8 engkel
SULAWESI;9.1 engkel
SUMATERA;13.1 engkel
JAWA TENGAH;9.4 engkel
KALIMANTAN;4.0 engkel
JAWA BARAT;1.1 engkel
JAWA TIMUR;0.9 engkel
BALI & NUSA TENGGARA;0.7 engkel
PAPUA;2.5 engkel
MALUKU;1.9 engkel
