Kepulauan Riau;157%
Gorontalo;97%
East Java;91%
Maluku;89%
Bali;82%
Lampung;79%
Riau;78%
Banten;76%
Bengkulu;73%
Central Java;70%
West Java;69%
Jambi;60%
Jakarta;58%
North Sulawesi;45%
Southeast Sulawesi;39%
West Nusa Tenggara;28%
South Kalimantan;27%
Central Kalimantan;22%
West Sumatra;18%
East Kalimantan;14%
North Kalimantan;13%
Papua;12%
South Sumatra;7%
South West Papua;6%
Central Papua;5%
;
;
;
;
;
;
;
